age,salary,savings,risk_profile,goal,goal_amount,years_to_goal,selected_instrument,outcome
46,134902,93006,Low,Buy a House,4347653,24,FD,Failed
34,144687,476559,Medium,Retirement,4612516,20,NPS,Partial
46,38622,190891,Medium,Tax Saving,4670012,3,PPF,Success
38,61830,294800,Medium,Emergency Fund,6083800,1,RD,Failed
60,37470,279550,Low,Travel Abroad,4958304,17,Gold ETF,Partial
28,32937,490034,Medium,Travel Abroad,3146777,19,Debt Mutual Fund,Partial
31,81432,300287,Low,Car Purchase,9694465,1,Debt Mutual Fund,Partial
35,33611,39175,High,Retirement,3516621,15,Equity Mutual Fund,Partial
30,98678,286444,High,Car Purchase,9622148,18,RD,Partial
34,115253,164619,Medium,Emergency Fund,7457793,7,RD,Partial
60,146666,136967,Medium,Buy a House,1988425,23,PPF,Partial
33,148074,462864,Low,Car Purchase,905720,5,Debt Mutual Fund,Partial
24,67639,399994,Medium,Tax Saving,2306180,8,ELSS Mutual Fund,Success
31,125019,388758,Medium,Travel Abroad,6756280,23,Debt Mutual Fund,Success
37,27653,433473,Low,Car Purchase,6984444,10,FD,Success
43,94216,461611,Low,Car Purchase,6593464,12,Debt Mutual Fund,Partial
37,50702,342752,Medium,Buy a House,3897336,12,PPF,Partial
43,77940,190429,Low,Tax Saving,8924874,18,ULIP,Partial
39,83811,161501,Low,Car Purchase,9198230,15,RD,Success
34,133256,192963,Medium,Tax Saving,4151256,15,ULIP,Success
46,137000,457622,High,Car Purchase,7476156,15,FD,Failed
33,86453,208880,Medium,Emergency Fund,4939832,23,Liquid Mutual Fund,Failed
37,37338,19735,Medium,Car Purchase,3788294,8,Debt Mutual Fund,Success
22,138898,27177,High,Travel Abroad,3282896,24,Savings Account,Success
24,66826,218885,Medium,Retirement,7972670,2,Equity Mutual Fund,Partial
42,42818,201471,Medium,Emergency Fund,9185432,1,Savings Account,Success
43,119566,297960,High,Travel Abroad,148777,14,Savings Account,Success
29,46012,290221,Low,Emergency Fund,7209763,17,Savings Account,Success
47,98405,132570,Medium,Retirement,2482792,10,NPS,Success
23,88871,222469,High,Retirement,4494734,14,NPS,Success
34,77222,295113,Low,Tax Saving,5500560,20,ELSS Mutual Fund,Partial
33,116842,132729,Medium,Retirement,2202698,12,PPF,Success
58,26218,229380,Medium,Retirement,8062602,16,Equity Mutual Fund,Success
39,55010,370935,Medium,Retirement,2472009,9,NPS,Success
38,143115,127479,High,Child Education,2642949,22,Balanced Mutual Fund,Success
57,74700,300654,Low,Emergency Fund,2091131,22,Liquid Mutual Fund,Success
49,72552,437136,Medium,Buy a House,1642805,1,Debt Mutual Fund,Success
46,78686,289701,Low,Travel Abroad,1185144,19,Debt Mutual Fund,Partial
24,128399,21670,Low,Retirement,1750105,18,PPF,Success
24,34312,301329,Medium,Buy a House,6458791,19,FD,Success
43,56228,449595,Medium,Retirement,5555662,14,Equity Mutual Fund,Success
33,121981,188679,Medium,Tax Saving,2181289,6,PPF,Success
37,113153,260014,Medium,Emergency Fund,9210183,9,Savings Account,Success
24,36958,238728,Medium,Child Education,2316502,16,PPF,Success
59,113560,127017,Medium,Car Purchase,6252015,22,FD,Failed
43,33654,50920,Medium,Travel Abroad,824081,1,Debt Mutual Fund,Success
40,132183,269184,Low,Tax Saving,2296858,3,ULIP,Success
45,41040,37291,Medium,Child Education,6721202,22,Balanced Mutual Fund,Partial
32,133106,475046,Low,Tax Saving,4697289,11,ELSS Mutual Fund,Partial
45,149102,10867,High,Travel Abroad,7889603,21,Savings Account,Success
32,39754,100198,High,Car Purchase,8400644,8,Debt Mutual Fund,Success
40,116833,309980,Medium,Emergency Fund,4230771,13,Savings Account,Success
43,48405,302995,Medium,Child Education,7452500,13,Sukanya Samriddhi,Success
46,114479,113982,High,Child Education,504041,1,PPF,Partial
28,127720,349306,High,Child Education,1186321,7,Balanced Mutual Fund,Success
38,46396,336789,Medium,Buy a House,8910022,18,Debt Mutual Fund,Partial
28,56889,484631,High,Emergency Fund,9579003,16,RD,Success
52,66269,316280,Medium,Car Purchase,4124951,15,FD,Partial
43,141756,184721,Low,Buy a House,9398197,16,PPF,Success
48,45325,483080,Low,Car Purchase,2993933,18,FD,Success
53,42427,44493,Medium,Emergency Fund,4959282,13,RD,Partial
28,26123,440351,Low,Retirement,8224319,2,PPF,Success
56,57341,463591,High,Emergency Fund,3419468,18,Savings Account,Partial
52,138197,105839,Medium,Car Purchase,5197259,21,Debt Mutual Fund,Success
25,73243,446293,Low,Tax Saving,3329658,8,ULIP,Partial
52,52417,38739,Medium,Tax Saving,9647517,1,ELSS Mutual Fund,Success
30,106030,149446,Medium,Emergency Fund,7856718,12,RD,Success
33,121794,322755,Medium,Buy a House,2383375,2,FD,Success
51,113558,273540,Medium,Travel Abroad,1001587,25,Debt Mutual Fund,Partial
57,85277,438773,Medium,Buy a House,9041929,6,PPF,Failed
49,137319,216601,Medium,Travel Abroad,2444478,25,Savings Account,Partial
31,79746,20824,Medium,Car Purchase,9008808,25,FD,Partial
52,74734,469778,Medium,Car Purchase,6261922,5,Debt Mutual Fund,Partial
29,111020,172231,Low,Car Purchase,1125193,4,Debt Mutual Fund,Success
50,114664,96775,Medium,Tax Saving,271321,14,ELSS Mutual Fund,Success
45,148452,269727,High,Car Purchase,4135568,1,RD,Partial
50,57390,366885,Low,Travel Abroad,1412344,18,Debt Mutual Fund,Success
42,36607,215562,Low,Retirement,8664701,12,NPS,Success
22,137511,491160,Medium,Emergency Fund,9845313,7,Liquid Mutual Fund,Partial
40,40240,406521,Low,Emergency Fund,4627609,9,Savings Account,Success
32,141600,236503,Medium,Travel Abroad,9474262,22,Gold ETF,Failed
46,128401,37489,High,Child Education,9598123,16,PPF,Success
39,96694,452383,High,Buy a House,656974,17,FD,Success
56,51838,232046,Medium,Travel Abroad,5890275,12,Savings Account,Success
23,89235,237816,High,Emergency Fund,2640391,6,Liquid Mutual Fund,Success
34,132751,495013,Low,Tax Saving,9653034,5,ELSS Mutual Fund,Success
48,67099,125672,Medium,Buy a House,5953958,2,Debt Mutual Fund,Partial
44,58877,337406,Medium,Travel Abroad,9961114,20,Gold ETF,Partial
42,64787,268224,High,Child Education,8530837,6,Balanced Mutual Fund,Success
23,39265,309696,High,Tax Saving,9060943,4,ELSS Mutual Fund,Success
33,26361,122246,Low,Travel Abroad,9279245,10,Debt Mutual Fund,Partial
29,144955,214979,Low,Retirement,3166698,22,NPS,Failed
51,97566,283201,Medium,Emergency Fund,4401641,21,Savings Account,Success
47,103221,201910,Medium,Retirement,661344,19,PPF,Success
33,42233,486865,Medium,Car Purchase,9458034,7,FD,Failed
26,106804,39094,Medium,Travel Abroad,2682435,24,Gold ETF,Partial
36,98928,235397,Low,Travel Abroad,7943797,11,Savings Account,Partial
42,25372,183603,Medium,Buy a House,8535555,8,FD,Success
40,64730,471588,Low,Retirement,501852,5,Equity Mutual Fund,Partial
56,58421,74699,High,Tax Saving,9608897,8,ELSS Mutual Fund,Success
46,47549,447881,High,Tax Saving,6898922,3,PPF,Success
48,88838,14719,High,Tax Saving,3445197,21,PPF,Partial
25,139617,10650,High,Child Education,9108534,19,Balanced Mutual Fund,Success
28,47010,56703,Medium,Tax Saving,8860965,6,ELSS Mutual Fund,Success
58,26903,239433,Low,Emergency Fund,841689,3,Liquid Mutual Fund,Failed
54,28271,250509,High,Tax Saving,1223017,22,ULIP,Success
48,103690,483460,Medium,Child Education,313499,15,PPF,Success
49,121650,191075,Low,Emergency Fund,8211721,14,Liquid Mutual Fund,Success
53,58951,369608,Low,Buy a House,6475824,22,Debt Mutual Fund,Success
57,26270,69489,Medium,Buy a House,8635174,4,FD,Success
50,110751,135470,Medium,Buy a House,5142212,17,Debt Mutual Fund,Success
39,116054,12739,Medium,Emergency Fund,1583263,24,Savings Account,Success
32,96254,260434,High,Travel Abroad,9231136,22,Gold ETF,Success
51,43520,342373,Low,Car Purchase,289743,20,Debt Mutual Fund,Partial
25,57577,347695,High,Retirement,2549621,9,NPS,Success
35,30645,61741,Low,Tax Saving,3725108,11,ELSS Mutual Fund,Success
32,135019,57324,Low,Car Purchase,546418,18,FD,Success
57,125105,141862,Low,Travel Abroad,1711465,21,Gold ETF,Success
52,115284,290917,Medium,Child Education,7338022,5,Sukanya Samriddhi,Success
33,110485,45862,Low,Emergency Fund,3823402,24,RD,Success
49,60012,257136,Low,Car Purchase,3166385,13,Debt Mutual Fund,Failed
38,37598,313061,Medium,Child Education,8503857,23,Sukanya Samriddhi,Success
41,102063,265207,High,Child Education,4647527,1,PPF,Partial
33,118969,126330,Medium,Retirement,541842,4,NPS,Success
53,36262,318810,High,Emergency Fund,1611586,14,Liquid Mutual Fund,Success
27,25389,225103,Medium,Retirement,7842871,11,Equity Mutual Fund,Success
25,25257,452233,Low,Car Purchase,7368742,25,FD,Success
27,148334,135771,Low,Buy a House,3599104,23,PPF,Partial
48,35653,494730,Medium,Retirement,506032,23,Equity Mutual Fund,Partial
51,25927,462691,High,Child Education,2537408,21,Sukanya Samriddhi,Success
57,54251,405528,High,Tax Saving,2143922,1,PPF,Success
47,87545,250370,High,Child Education,2015754,18,Balanced Mutual Fund,Partial
43,121119,415414,Medium,Retirement,1604318,10,PPF,Partial
58,78685,441749,Medium,Child Education,4791916,20,PPF,Success
47,37295,180073,Low,Travel Abroad,4463654,14,Debt Mutual Fund,Partial
34,115612,190646,High,Emergency Fund,9700027,13,Liquid Mutual Fund,Success
44,32590,71428,High,Emergency Fund,6959255,1,Savings Account,Partial
27,26199,255553,High,Child Education,3749081,19,PPF,Success
24,81708,131545,Medium,Emergency Fund,2439836,18,Savings Account,Success
44,46169,149784,Medium,Retirement,2102234,20,NPS,Partial
23,121608,120659,Low,Child Education,8107147,16,Balanced Mutual Fund,Success
45,60099,242581,Low,Buy a House,4382753,1,FD,Partial
43,79592,479233,Medium,Tax Saving,2423408,9,ELSS Mutual Fund,Partial
35,86345,270340,Medium,Emergency Fund,3621219,16,Savings Account,Success
35,143335,155748,Medium,Tax Saving,8349358,19,PPF,Partial
59,120637,32643,Low,Emergency Fund,3645221,5,Savings Account,Success
23,61414,400782,Medium,Retirement,3530621,7,PPF,Partial
37,60629,70213,Medium,Buy a House,143963,17,Debt Mutual Fund,Success
59,38751,177836,Low,Car Purchase,2982537,23,Debt Mutual Fund,Failed
45,141956,424943,Medium,Buy a House,994581,18,FD,Success
51,79599,235607,Medium,Child Education,7681678,25,PPF,Success
38,132876,494251,Medium,Buy a House,732753,10,FD,Success
46,121517,121028,High,Buy a House,9472122,25,FD,Success
51,40926,188398,Medium,Buy a House,3992938,15,PPF,Success
46,36486,486826,Medium,Car Purchase,6083198,4,Debt Mutual Fund,Partial
46,74082,124981,High,Car Purchase,3182777,1,Debt Mutual Fund,Success
32,143244,13622,Low,Emergency Fund,3242583,2,Liquid Mutual Fund,Success
46,137299,187538,Low,Car Purchase,4067153,8,Debt Mutual Fund,Partial
51,129144,429711,Low,Travel Abroad,121123,9,Debt Mutual Fund,Success
26,120968,294514,Medium,Buy a House,9797114,22,FD,Success
48,140088,464092,Medium,Retirement,8027325,18,PPF,Partial
28,72410,414982,High,Tax Saving,5599934,17,ULIP,Success
23,52466,335223,Medium,Tax Saving,4888144,15,ULIP,Success
58,66032,120046,Low,Retirement,4055986,10,PPF,Success
47,126947,417981,Low,Car Purchase,4449742,13,FD,Partial
38,115955,399775,Medium,Child Education,3532574,17,Sukanya Samriddhi,Failed
46,78488,32655,Medium,Travel Abroad,6047796,3,Gold ETF,Success
45,125972,366981,Medium,Buy a House,1159752,25,FD,Success
45,108048,160141,Low,Buy a House,1116997,17,FD,Success
52,115188,330274,Low,Tax Saving,4551840,12,PPF,Partial
40,97086,449559,Low,Tax Saving,8982024,3,ELSS Mutual Fund,Failed
57,81745,86413,Low,Emergency Fund,5375516,19,Liquid Mutual Fund,Success
52,105353,145854,Low,Child Education,5413772,7,PPF,Partial
55,30235,282888,High,Child Education,7643251,3,PPF,Partial
59,83604,158146,Medium,Tax Saving,4780696,16,ELSS Mutual Fund,Partial
53,115307,468524,Low,Retirement,5740539,18,NPS,Success
37,53260,284445,Low,Retirement,3313572,2,Equity Mutual Fund,Success
40,40079,211194,Low,Retirement,8053657,20,PPF,Success
32,40632,249057,Medium,Emergency Fund,9850683,15,Savings Account,Partial
39,134696,147742,Medium,Car Purchase,1400363,5,FD,Success
52,33196,479754,Medium,Emergency Fund,9006062,3,Liquid Mutual Fund,Success
30,109911,387778,Low,Emergency Fund,7282412,25,RD,Success
40,40790,338299,Medium,Child Education,5026379,25,Sukanya Samriddhi,Success
33,112558,303511,Medium,Emergency Fund,5243369,20,Savings Account,Success
53,41416,339430,High,Child Education,8428625,22,Balanced Mutual Fund,Success
37,69188,250745,Medium,Tax Saving,4527661,23,PPF,Partial
49,143268,201833,Low,Buy a House,3290224,7,FD,Success
60,81300,493726,Low,Emergency Fund,5325509,2,RD,Partial
33,53468,476230,Low,Emergency Fund,9764752,9,RD,Partial
47,143773,272721,Low,Travel Abroad,4585286,6,Gold ETF,Success
44,108597,111176,Medium,Buy a House,7176754,17,Debt Mutual Fund,Success
42,148670,39514,Low,Tax Saving,3234108,6,ULIP,Success
33,86050,485366,High,Child Education,9489631,25,PPF,Success
52,126046,85588,Low,Tax Saving,5781285,3,PPF,Success
36,111946,428992,High,Buy a House,1527244,14,PPF,Failed
52,122805,425061,Low,Tax Saving,2797500,5,ELSS Mutual Fund,Success
40,139838,495779,Medium,Car Purchase,4845209,1,FD,Failed
34,47692,473885,High,Child Education,2282410,25,Balanced Mutual Fund,Success
53,106066,363803,Low,Tax Saving,7198120,25,ULIP,Success
43,47789,174664,High,Car Purchase,5611605,2,Debt Mutual Fund,Success
58,147691,386628,Medium,Tax Saving,4809052,12,ULIP,Partial
55,97718,194965,Medium,Child Education,4110729,13,Sukanya Samriddhi,Failed
55,100813,330097,Low,Child Education,5294641,6,Sukanya Samriddhi,Partial
53,63423,348963,Low,Car Purchase,9625213,2,Debt Mutual Fund,Failed
27,112911,145840,Medium,Emergency Fund,391171,4,RD,Success
24,82175,81767,Medium,Child Education,3782859,11,Balanced Mutual Fund,Success
29,119484,138980,Medium,Emergency Fund,3130279,22,Savings Account,Success
49,142186,52531,Medium,Tax Saving,4984780,5,PPF,Partial
29,130792,169764,Low,Tax Saving,5855823,19,PPF,Success
28,134137,287965,Medium,Buy a House,6443732,3,FD,Success
28,124960,181283,High,Travel Abroad,6091982,6,Gold ETF,Success
53,50478,114175,High,Retirement,2802409,11,Equity Mutual Fund,Success
22,134474,441338,Medium,Travel Abroad,5424290,3,Savings Account,Success
40,102684,205667,Medium,Retirement,7289299,12,NPS,Success
36,79495,221310,Medium,Travel Abroad,9310957,22,Gold ETF,Failed
50,36482,369472,Low,Buy a House,8940740,20,PPF,Success
29,138575,217316,Low,Buy a House,8373402,13,PPF,Success
46,34175,192241,Medium,Retirement,8512933,24,NPS,Success
45,28262,145996,Low,Child Education,6118814,5,Sukanya Samriddhi,Success
57,123253,411148,Low,Tax Saving,2868710,18,PPF,Partial
25,101638,98584,Medium,Buy a House,1382010,6,Debt Mutual Fund,Success
33,63258,94834,Low,Travel Abroad,2651958,18,Debt Mutual Fund,Success
55,47266,137667,Low,Child Education,7987473,7,PPF,Success
41,42800,336513,Medium,Tax Saving,6286920,21,PPF,Partial
36,105621,307862,High,Tax Saving,4389530,19,PPF,Partial
26,72652,225801,Medium,Buy a House,9845835,15,PPF,Failed
37,57510,437150,High,Travel Abroad,5812429,24,Debt Mutual Fund,Success
29,129009,439854,Low,Tax Saving,1684024,13,ULIP,Partial
60,143450,103649,Low,Tax Saving,4595125,1,ULIP,Partial
55,104559,97298,Medium,Buy a House,2685477,6,Debt Mutual Fund,Success
40,50539,79280,Medium,Car Purchase,7030185,13,Debt Mutual Fund,Success
47,74410,364379,Medium,Child Education,654847,16,Balanced Mutual Fund,Failed
22,78099,350179,Medium,Retirement,7476320,10,NPS,Partial
56,129313,232577,Medium,Emergency Fund,292562,13,Savings Account,Success
42,83084,493181,Medium,Emergency Fund,6731632,21,RD,Success
54,39916,15978,Medium,Tax Saving,3589865,15,ULIP,Partial
30,40501,160455,Medium,Tax Saving,5221045,7,ELSS Mutual Fund,Success
60,148276,425319,Medium,Tax Saving,5026981,21,ELSS Mutual Fund,Success
59,109358,367253,Medium,Buy a House,5714322,18,Debt Mutual Fund,Success
53,114821,235138,Low,Tax Saving,9866730,9,PPF,Partial
44,89556,182761,Low,Car Purchase,4262670,9,FD,Success
41,115279,165621,Medium,Child Education,3643657,2,Sukanya Samriddhi,Success
58,45389,322421,Medium,Tax Saving,660721,19,ULIP,Success
50,41592,162050,Low,Car Purchase,8691979,17,FD,Success
25,59874,21091,Medium,Buy a House,5692276,3,FD,Success
27,128419,105344,High,Car Purchase,8670920,18,RD,Failed
32,28639,57489,Low,Tax Saving,3004107,18,PPF,Success
36,79766,207380,Medium,Car Purchase,9148692,20,RD,Success
26,29135,347560,Low,Emergency Fund,6334054,13,Savings Account,Success
56,84691,354415,High,Buy a House,6849300,21,PPF,Success
28,36345,225853,Medium,Retirement,2913577,13,PPF,Partial
58,145477,145831,Low,Buy a House,3207523,13,Debt Mutual Fund,Success
60,130511,310006,Medium,Tax Saving,8920904,23,ULIP,Partial
26,56049,45658,Low,Buy a House,2490700,1,Debt Mutual Fund,Partial
42,48814,257840,Medium,Child Education,4153302,1,PPF,Partial
32,56030,261107,High,Retirement,1346809,21,NPS,Success
27,74891,141580,Medium,Travel Abroad,8251733,16,Gold ETF,Partial
48,47120,86644,Medium,Child Education,3555467,9,Balanced Mutual Fund,Partial
44,74207,301248,Low,Child Education,5005265,23,Balanced Mutual Fund,Failed
39,63156,423736,Medium,Child Education,6439816,23,PPF,Partial
23,141444,317026,Low,Retirement,1486401,15,NPS,Success
52,36035,397297,Low,Buy a House,1881638,20,FD,Success
41,123706,95566,Low,Child Education,1013488,12,PPF,Success
33,121061,480909,Low,Child Education,2684572,23,PPF,Partial
30,147709,337489,High,Tax Saving,7206992,24,ULIP,Success
53,75095,222664,Medium,Retirement,8072238,10,NPS,Partial
22,66242,462121,Medium,Tax Saving,903964,21,ULIP,Partial
53,99067,437481,High,Tax Saving,817860,4,ELSS Mutual Fund,Success
33,57543,457483,High,Tax Saving,2410893,12,ELSS Mutual Fund,Partial
44,33615,228637,High,Car Purchase,7717411,1,Debt Mutual Fund,Success
37,82585,51132,Low,Retirement,1414923,24,NPS,Partial
54,121519,427535,Medium,Travel Abroad,4868883,17,Debt Mutual Fund,Success
32,104295,286509,Low,Car Purchase,4374440,19,FD,Failed
31,131235,52120,Medium,Buy a House,3474010,11,FD,Partial
47,118722,118405,Medium,Buy a House,8867272,8,FD,Success
43,32596,491849,High,Emergency Fund,4268090,22,Savings Account,Success
35,78236,291898,Medium,Child Education,9344981,19,Balanced Mutual Fund,Success
32,67162,289287,Low,Emergency Fund,1244939,22,Savings Account,Success
59,38279,209076,Medium,Travel Abroad,3150439,7,Gold ETF,Success
43,102520,288509,Medium,Child Education,7831589,9,PPF,Success
55,91378,206574,Medium,Travel Abroad,2212150,3,Savings Account,Success
42,70625,245190,Low,Emergency Fund,6741984,13,RD,Success
51,115595,18317,High,Child Education,6760957,10,PPF,Success
24,37443,455317,High,Child Education,1453815,8,PPF,Partial
39,104544,17361,Medium,Car Purchase,324496,16,Debt Mutual Fund,Success
46,78883,282949,Low,Child Education,3760820,15,PPF,Success
28,113435,429905,Low,Buy a House,5646645,23,PPF,Success
51,81649,213576,Medium,Retirement,7973450,23,Equity Mutual Fund,Partial
38,138122,33824,Low,Retirement,8885720,8,PPF,Partial
50,129580,117104,Low,Retirement,736009,1,PPF,Partial
34,78903,50836,Low,Retirement,7771823,12,PPF,Success
54,148580,418800,Low,Car Purchase,8625463,3,FD,Partial
27,65228,417214,High,Buy a House,7235280,25,Debt Mutual Fund,Success
24,55861,252276,Medium,Buy a House,2267046,4,Debt Mutual Fund,Success
49,121553,276420,High,Retirement,4267121,30,RD,Success
57,149617,1721206,Medium,Buy a House,3104623,22,Debt Mutual Fund,Success
34,48581,566229,Medium,Child Education,4473974,26,PPF,Success
23,67709,714402,Low,Buy a House,7805844,23,FD,Success
37,102586,592104,High,Tax Saving,3255782,1,ELSS Mutual Fund,Success
22,170925,1549081,Medium,Buy a House,5781049,26,Savings Account,Success
41,184352,1617038,Medium,Buy a House,3752223,25,Balanced Mutual Fund,Success
49,156624,379631,Low,Emergency Fund,3469066,7,RD,Success
23,91089,382401,Medium,Emergency Fund,2666050,18,NPS,Failure
52,144413,728828,Medium,Emergency Fund,6985246,23,Savings Account,Success
52,159823,872175,Medium,Car Purchase,5282093,4,PPF,Success
43,185785,1282773,Low,Car Purchase,1865382,9,Balanced Mutual Fund,Failure
48,75987,764587,High,Car Purchase,5909953,1,Balanced Mutual Fund,Success
22,138622,977452,Low,Child Education,680074,23,FD,Success
32,144362,418664,Low,Tax Saving,5145540,5,Gold ETF,Success
23,161491,136113,Medium,Tax Saving,5661051,2,ELSS Mutual Fund,Success
39,185888,1742630,High,Buy a House,4767721,19,Liquid Mutual Fund,Success
54,122381,770402,Medium,Tax Saving,522238,18,Balanced Mutual Fund,Success
44,130365,408342,High,Buy a House,3495746,24,FD,Success
32,123834,780563,Low,Emergency Fund,520276,14,Debt Mutual Fund,Success
51,63564,405753,High,Travel Abroad,3686466,29,Savings Account,Success
40,85226,333652,High,Buy a House,2184424,20,Debt Mutual Fund,Success
29,129691,1056030,High,Emergency Fund,7990313,17,Savings Account,Failure
25,134208,1155043,Low,Tax Saving,7525417,1,Equity Mutual Fund,Success
56,183723,838497,High,Buy a House,6232131,20,ULIP,Success
57,49736,531801,High,Travel Abroad,6228996,2,FD,Success
57,147837,363298,Low,Child Education,1846949,29,PPF,Success
28,158567,300173,Medium,Retirement,2603343,15,Balanced Mutual Fund,Success
38,199253,515854,Medium,Emergency Fund,3889223,18,NPS,Success
42,49871,13752,Low,Buy a House,3731614,27,ULIP,Success
23,144105,1523651,High,Emergency Fund,4527571,21,Liquid Mutual Fund,Success
43,53428,191487,High,Child Education,2147826,21,Liquid Mutual Fund,Success
50,153478,167419,High,Retirement,2883196,30,RD,Success
38,161525,1299570,Medium,Child Education,6997340,9,Liquid Mutual Fund,Success
30,124984,909168,High,Child Education,7384210,13,Balanced Mutual Fund,Success
48,119289,1031509,High,Tax Saving,7826774,12,FD,Success
35,116254,172099,Low,Tax Saving,1946946,8,Equity Mutual Fund,Success
26,177002,1073211,Low,Buy a House,1521507,5,Savings Account,Success
60,91702,672513,High,Tax Saving,242189,9,PPF,Success
46,125299,1222430,Low,Retirement,4005468,5,Savings Account,Success
54,162225,208089,Low,Child Education,3328819,22,Debt Mutual Fund,Success
30,186282,2177490,Medium,Tax Saving,9285005,18,Liquid Mutual Fund,Success
44,197073,220415,Medium,Car Purchase,2817916,18,Liquid Mutual Fund,Success
23,184325,2142789,High,Car Purchase,8518079,2,Debt Mutual Fund,Success
28,27972,304368,Medium,Emergency Fund,1069315,2,Gold ETF,Success
24,152189,630146,High,Tax Saving,293797,8,ULIP,Success
32,199495,1093761,High,Tax Saving,5966702,11,RD,Success
36,142575,1516822,High,Car Purchase,8521493,24,PPF,Success
30,173611,89108,Low,Child Education,9136218,29,Savings Account,Success
50,81758,189320,High,Buy a House,8592654,12,Equity Mutual Fund,Success
44,136045,1327030,High,Buy a House,3687080,22,Sukanya Samriddhi,Success
25,124259,94459,Medium,Retirement,9663175,27,RD,Success
33,88989,943735,Low,Child Education,7214982,7,ELSS Mutual Fund,Success
42,54481,259380,Low,Buy a House,405464,25,Liquid Mutual Fund,Success
48,142699,1673272,Medium,Travel Abroad,2419712,9,ULIP,Success
28,137722,1108378,Medium,Car Purchase,260352,12,RD,Success
29,121152,1210335,Medium,Tax Saving,9749244,6,ULIP,Success
25,40290,136445,High,Retirement,5688016,28,Sukanya Samriddhi,Success
50,45322,331048,Medium,Child Education,7850962,6,FD,Success
42,55353,646289,Low,Car Purchase,8809242,7,NPS,Success
35,93980,266947,Medium,Buy a House,8606710,24,Balanced Mutual Fund,Success
57,103270,862222,Low,Emergency Fund,7972666,20,Liquid Mutual Fund,Success
49,64598,609384,High,Travel Abroad,3861015,13,ELSS Mutual Fund,Success
32,52319,449660,Medium,Buy a House,8407302,20,ELSS Mutual Fund,Success
36,150944,220698,Medium,Emergency Fund,2465739,4,Sukanya Samriddhi,Success
48,112660,442994,Low,Travel Abroad,9069184,17,NPS,Success
28,148160,1740982,High,Buy a House,4733255,9,FD,Success
53,151143,1747723,Low,Travel Abroad,6518195,1,RD,Success
24,141345,925892,Medium,Tax Saving,2487455,12,Equity Mutual Fund,Success
56,36307,366535,High,Car Purchase,7640171,22,NPS,Success
41,196010,862973,Medium,Buy a House,2185610,23,RD,Success
60,143403,556064,Low,Retirement,3408461,3,Balanced Mutual Fund,Success
27,83800,788618,High,Retirement,8023830,20,Balanced Mutual Fund,Success
56,22791,154463,Low,Travel Abroad,6601759,24,FD,Success
36,195997,448589,Medium,Child Education,2776175,19,Liquid Mutual Fund,Success
53,184293,916856,Low,Car Purchase,9530057,24,Gold ETF,Success
36,184276,1389138,Low,Car Purchase,5778221,14,RD,Success
40,156059,699783,High,Car Purchase,6740914,9,RD,Success
23,102183,581634,High,Travel Abroad,5284711,24,Liquid Mutual Fund,Success
34,195335,1057731,Medium,Car Purchase,7589432,1,RD,Success
45,141391,88608,High,Car Purchase,5938909,6,Sukanya Samriddhi,Success
51,29668,152136,Low,Retirement,3568939,20,Sukanya Samriddhi,Success
32,117559,646631,Low,Tax Saving,3709604,24,Liquid Mutual Fund,Success
31,40074,10537,Low,Travel Abroad,8722570,26,Sukanya Samriddhi,Success
38,129265,1008972,Low,Child Education,9196091,16,NPS,Success
31,163796,769102,Medium,Tax Saving,5032333,5,PPF,Success
22,63155,396394,High,Travel Abroad,6461103,5,Savings Account,Success
50,48798,255307,High,Emergency Fund,1106665,11,Liquid Mutual Fund,Success
26,145012,1407491,Medium,Child Education,244231,16,ELSS Mutual Fund,Success
39,185869,523455,High,Child Education,4799194,4,FD,Success
51,112764,255701,Medium,Buy a House,7168088,26,RD,Failure
24,157599,1548531,High,Tax Saving,4678969,3,FD,Success
54,33681,234344,Low,Travel Abroad,1213678,19,Sukanya Samriddhi,Success
38,173891,175860,Low,Car Purchase,3316371,25,Liquid Mutual Fund,Success
32,195566,2101071,Medium,Emergency Fund,9555261,27,Balanced Mutual Fund,Success
43,172667,1306603,Low,Child Education,9516393,25,Liquid Mutual Fund,Success
30,146119,791915,Low,Car Purchase,6351044,15,Equity Mutual Fund,Success
27,127665,1027443,High,Emergency Fund,186904,18,Equity Mutual Fund,Success
47,20831,170449,High,Buy a House,8391259,9,Liquid Mutual Fund,Success
57,83843,947006,Low,Travel Abroad,454892,29,Balanced Mutual Fund,Success
26,36546,387825,Medium,Child Education,5042816,25,Balanced Mutual Fund,Success
60,27308,202532,High,Retirement,6432037,8,Gold ETF,Success
22,157871,633837,Medium,Emergency Fund,7586657,24,NPS,Success
53,76593,15095,Low,Emergency Fund,9899641,19,Balanced Mutual Fund,Success
30,187846,1096672,Low,Travel Abroad,2920072,19,ELSS Mutual Fund,Success
44,122949,856838,Low,Car Purchase,7301343,19,Equity Mutual Fund,Success
29,39737,411454,Medium,Child Education,6625347,28,FD,Success
55,144609,1206973,Low,Emergency Fund,1282138,30,ELSS Mutual Fund,Success
45,67799,754966,Low,Emergency Fund,1598897,23,Equity Mutual Fund,Success
25,39900,36456,Low,Retirement,6075666,12,RD,Success
59,172175,1094980,Medium,Tax Saving,5048327,28,RD,Success
55,49011,300373,Medium,Car Purchase,6208478,1,PPF,Success
42,96309,618572,Medium,Emergency Fund,7713157,2,ULIP,Failure
